Over/Ball,Innings,Team,Batsman,Bowler,Commentary
12.5,2,AFG,Rashid Khan,Ravi Bishnoi,"Ravi Bishnoi to Rashid Khan, <b>out</b> Bowled!! 2nd wicket for Bishnoi, well tossed up leg break on middle, Khan kneels down and goes for the slog sweep, connects only thin air and the ball goes past the outside edge to crash into the stumps, India are one wicket away from a clean sweep. <b>Rashid Khan b Ravi Bishnoi 6(5) [4s-1]</b>"
12.6,2,AFG,Fazalhaq Farooqi,Ravi Bishnoi,"Ravi Bishnoi to Fazalhaq Farooqi, no run, quicker delivery mighty closer to the off-stump, Farooqi goes for a loose drive and misses it"
13.1,2,AFG,Abdullah Ahmadzai,Nitish Kumar Reddy,"Nitish Reddy to Abdullah Ahmadzai, no run, back of a length and outside off, Ahmadzai smashes it to long on, he didn't take the single"
13.2,2,AFG,Abdullah Ahmadzai,Nitish Kumar Reddy,"Nitish Reddy to Abdullah Ahmadzai, no run, fuller length delivery on off, Ahmadzai drives it to wide long off"
13.3,2,AFG,Abdullah Ahmadzai,Nitish Kumar Reddy,"Nitish Reddy to Abdullah Ahmadzai, <b>FOUR</b>, smashed down the ground, pitched up and in the slot, Ahmadzai gets under the ball nicely and drills it to long-off, one bounce over the ropes"
13.4,2,AFG,Abdullah Ahmadzai,Nitish Kumar Reddy,"Nitish Reddy to Abdullah Ahmadzai, no run, slower delivery on the stumps, Ahmadzai goes for a wild swing and misses it"
13.5,2,AFG,Abdullah Ahmadzai,Nitish Kumar Reddy,"Nitish Reddy to Abdullah Ahmadzai, 1 run, yorker length delivery on middle, Ahmadzai clips it to mid-wicket"
13.6,2,AFG,Fazalhaq Farooqi,Nitish Kumar Reddy,"Nitish Reddy to Fazalhaq Farooqi, no run, slips in another yorker on target, Farooqi digs it out to covers"
14.1,2,AFG,Abdullah Ahmadzai,Ravi Bishnoi,"Ravi Bishnoi to Abdullah Ahmadzai, <b>out</b> Caught by Axar Patel!! It's all over, a clean sweep for India, well tossed up on off, Ahmadzai goes for a wild slog across the line and miscues it high in the air towards deep midwicket, where Axar takes a well judged catch moving to his left. <b>Abdullah Ahmadzai c Axar Patel b Ravi Bishnoi 6(8) [4s-1]</b>"
