Over/Ball,Innings,Team,Batsman,Bowler,Commentary
37.4,3,BAN,Mushfiqur Rahim,Mitchell Starc,"Mitchell Starc to Mushfiqur, no run, good length delivery on off, defended to cover"
37.5,3,BAN,Mushfiqur Rahim,Mitchell Starc,"Mitchell Starc to Mushfiqur, no run, solid defence from Rahim to a good length delivery on off-stump"
37.6,3,BAN,Mushfiqur Rahim,Mitchell Starc,"Mitchell Starc to Mushfiqur, no run, back of a length delivery outside off, lifts off from the surface and the keeper takes it at a good height"
38.1,3,BAN,Taskin Ahmed,Nathan Lyon,"Lyon to Taskin Ahmed, <b>out</b> Caught by Steven Smith!! And straightaway after the tea break! Teasing flight around off, lures Taskin into the drive and finds enough dip and turn for the outside edge. Smith takes a good low catch to his right at slip and Bangladesh are nine down. <b>Taskin Ahmed c Steven Smith b Lyon 8(11) [6s-1]</b>"
38.2,3,BAN,Shoriful Islam,Nathan Lyon,"Lyon to Shoriful Islam, no run, good length outside off, defended forward"
38.3,3,BAN,Shoriful Islam,Nathan Lyon,"Lyon to Shoriful Islam, <b>out</b> Caught by Mitchell Starc!! Has taken Australia just three balls after tea to wrap it all up! <b>After the shock defeat in Darwin, they've bounced back in style, beating Bangladesh inside two days in Mackay.</b> Series finishes 1-1 and fittingly it's Mitchell Starc who takes the catch to seal the deal. Tossed up outside off, Shoriful Islam gives the charge, goes for a big slog but isn't to the pitch of it as the ball dips and turns. It takes a thick edge and balloons towards backward point where Starc jumps for an overhead grab. <b>Shoriful Islam c Mitchell Starc b Lyon 0(2)</b>"
1787460156062,37.4,3,BAN,Mushfiqur Rahim,Mitchell Starc,"Mitchell Starc to Mushfiqur, no run, good length delivery on off, defended to cover"
1787460203968,37.5,3,BAN,Mushfiqur Rahim,Mitchell Starc,"Mitchell Starc to Mushfiqur, no run, solid defence from Rahim to a good length delivery on off-stump"
1787460249855,37.6,3,BAN,Mushfiqur Rahim,Mitchell Starc,"Mitchell Starc to Mushfiqur, no run, back of a length delivery outside off, lifts off from the surface and the keeper takes it at a good height"
1787460280114,$undefined,3,BAN,,,"<b>14:44 Local Time, 04:44 GMT, 10:14 IST:</b> Australia stand just two wickets away from a dominant victory as the players head off for <b>tea on Day 2</b>, with Bangladesh in deep trouble at 95 for 8. Trailing by 51 runs, the visitors once again crumbled under intense pressure from the Australian pace attack. Mitchell Starc was the star of the show yet again, delivering another devastating spell to complete a magnificent <b>10-wicket haul</b> for the match. He was brilliantly supported by Pat Cummins, who bowled with ruthless discipline to bag 3 wickets for just 10 runs in his 10 overs. Mushfiqur Rahim has been the sole warrior for Bangladesh, battling hard as wickets tumbled around him, but Australia are on the verge of wrapping up an emphatic victory shortly after the break. Be back in 15 minutes."
1787461380315,$undefined,3,BAN,,,Welcome back.. Just two wickets to go and it shouldn't take very long for Australia to wrap it up. Slip and a silly point for Lyon from round the wicket
1787461481144,$undefined,3,BAN,Taskin Ahmed,Lyon,"Lyon to Taskin Ahmed, <b>THATS OUT!!</b> Caught!!"
1787461482326,38.1,3,BAN,Taskin Ahmed,Nathan Lyon,"Lyon to Taskin Ahmed, <b>out</b> Caught by Steven Smith!! And straightaway after the tea break! Teasing flight around off, lures Taskin into the drive and finds enough dip and turn for the outside edge. Smith takes a good low catch to his right at slip and Bangladesh are nine down. <b>Taskin Ahmed c Steven Smith b Lyon 8(11) [6s-1]</b>"
1787461528959,$undefined,3,BAN,Shoriful Islam,Lyon,"<b>Shoriful Islam, left handed bat, comes to the crease</b>"
1787461587360,38.2,3,BAN,Shoriful Islam,Nathan Lyon,"Lyon to Shoriful Islam, no run, good length outside off, defended forward"
1787461614167,$undefined,3,BAN,Shoriful Islam,Lyon,"Lyon to Shoriful Islam, <b>THATS OUT!!</b> Caught!!"
1787461615736,38.3,3,BAN,Shoriful Islam,Nathan Lyon,"Lyon to Shoriful Islam, <b>out</b> Caught by Mitchell Starc!! Has taken Australia just three balls after tea to wrap it all up! <b>After the shock defeat in Darwin, they've bounced back in style, beating Bangladesh inside two days in Mackay.</b> Series finishes 1-1 and fittingly it's Mitchell Starc who takes the catch to seal the deal. Tossed up outside off, Shoriful Islam gives the charge, goes for a big slog but isn't to the pitch of it as the ball dips and turns. It takes a thick edge and balloons towards backward point where Starc jumps for an overhead grab. <b>Shoriful Islam c Mitchell Starc b Lyon 0(2)</b>"
1787461810567,$undefined,3,BAN,,,"<b>15:10 Local Time, 05:10 GMT, 10:40 IST:</b> Just 159 runs in both innings combined from Bangladesh - a disappointing effort after what they achieved in Darwin. They've been blown away well inside two days, with Mitchell Starc the wrecker-in-chief, taking 10 wickets in the Test, six in the first innings and four in the second. This pitch in Mackay had more pace and bounce on offer than what we saw in the first Test, and the conditions were much more to Australia's liking. They also didn't make the mistake of batting first after winning the toss this time. Cummins inserted Bangladesh in and they were rolled over for just 64 yesterday morning. Australia weren't the most convincing with the bat either, but they still managed to secure a 146-run lead which was more than enough for the visitors who capitulated once more."
1787461975009,$undefined,3,BAN,,,$2d
1787462087778,$undefined,3,BAN,,,$2c
1787462251128,$undefined,3,BAN,,,$2b
1787462745375,$undefined,3,BAN,,,$2a
1787462896511,$undefined,3,BAN,,,$29
1787463022052,$undefined,3,BAN,,,$28
1787463196455,$undefined,3,BAN,,,"A tour on which Bangladesh achieved their greatest-ever win since making their international debut in 1986 has ended on a bitter note for them. Their batting was found out in conditions with more pace and bounce as Australia bounced back in style here in Mackay. But these last couple of weeks have confirmed the potential of Bangladesh's bowling attack. Even without Nahid Rana, the seamers made a big impact while Mehidy also had a say in conditions not ideally suited for him. Australia, on the other hand, went through a lot of scrutiny after the result in Darwin and question marks continue to linger over that batting lineup. They continue to lead the table in the World Test Championship but have a challenging run of fixtures in the next few months. First up will be the tour to South Africa, then New Zealand at home and then India away. A lot can happen during this time and Bangladesh are right in the mix when it comes to challenging for a spot in the top two. Exciting times ahead..."
1787463667028,$undefined,3,BAN,,,"Cummins and Shanto share the trophy, and with that, it's time to wrap things up. Hope you enjoyed our coverage. This is Sagar Chawla signing off on behalf of Praveen Kumar, Krishna AS and Kiran Nataraj. Goodbye!"
